objt_id,polc_nm,plcstn_nm,polc_se,murder,brglr,rape,theft,violn,arson,nrctc,tmpt,gamble,tot,ctprvn_nm,sgg_kor_nm,ctprvn_cd,sgg_cd,x,y
1361,서울양천,경찰서,양천,10,1,1,1,1,1,1,10,4,1,서울특별시,양천구,11,11470,14122607.947982,4511354.173209
1370,서울영등포,경찰서,영등포,2,1,1,1,1,1,5,2,1,1,서울특별시,영등포구,11,11560,14126548.312532,4512658.833739
1381,서울용산,경찰서,용산,5,5,1,1,1,1,1,6,2,1,서울특별시,용산구,11,11170,14133987.85644,4514815.850142
1390,서울은평,경찰서,은평,1,5,2,1,1,1,1,3,1,1,서울특별시,은평구,11,11380,14129630.156344,4527079.901651
1396,서울종로,경찰서,종로,10,3,2,1,1,3,5,6,6,1,서울특별시,종로구,11,11110,14135891.652613,4519652.762842
1410,서울종암,경찰서,종암,1,1,1,1,1,1,1,6,1,1,서울특별시,성북구,11,11290,14141176.812383,4523382.39673
1415,서울중랑,경찰서,중랑,2,3,1,1,1,1,1,10,1,1,서울특별시,중랑구,11,11260,14146095.252576,4523866.056474
1424,서울중부,경찰서,중부,1,1,1,1,1,1,10,5,4,1,서울특별시,중구,11,11140,14136419.155271,4517947.221276
1432,서울혜화,경찰서,혜화,1,2,2,3,1,1,1,4,1,1,서울특별시,종로구,11,11110,14137456.415926,4519121.596298
1441,울산남부,경찰서,남부,2,1,2,1,1,1,10,7,1,1,울산광역시,남구,31,31140,14394749.757569,4236936.458299
1448,울산동부,경찰서,동부,1,6,4,2,1,1,1,2,1,1,울산광역시,동구,31,31170,14407969.335785,4233211.458229
1455,울산울주,경찰서,울주,10,10,10,10,5,10,10,10,10,8,울산광역시,울주군,31,31710,14387240.320048,4241551.781489
1466,울산중부,경찰서,중부,5,4,4,2,1,1,1,5,5,2,울산광역시,중구,31,31110,14399101.377061,4241540.767913
1475,인천강화,경찰서,강화,5,1,3,3,2,1,6,10,1,2,인천광역시,강화군,28,28710,14080430.544714,4543854.848634
1489,인천계양,경찰서,계양,1,1,1,1,1,1,6,2,1,1,인천광역시,계양구,28,28245,14108153.606926,4514311.58376
1495,인천남동,경찰서,남동,1,1,1,1,1,1,1,4,1,1,인천광역시,남동구,28,28200,14104997.681654,4500910.470936
1505,인천남부,경찰서,남부,1,3,1,1,1,1,1,7,1,1,인천광역시,남구,28,28170,14098993.955818,4501005.035801
1515,인천부평,경찰서,부평,1,1,1,1,1,1,1,2,1,1,인천광역시,부평구,28,28237,14106304.340486,4510167.654352
1522,인천삼산,경찰서,삼산,1,1,1,1,1,1,1,1,1,1,인천광역시,부평구,28,28237,14107788.487559,4510593.634004
1528,인천서부,경찰서,서부,1,2,1,1,1,1,1,3,1,1,인천광역시,서구,28,28260,14101758.427072,4515288.897066
1535,인천연수,경찰서,연수,1,1,2,1,1,1,1,3,2,1,인천광역시,연수구,28,28185,14102044.069546,4496486.658839
1540,인천중부,경찰서,중부,8,8,5,5,2,1,1,5,1,4,인천광역시,중구,28,28110,14095079.115135,4505222.707292
1556,전남강진,경찰서,강진,1,1,7,1,1,1,1,6,1,1,전라남도,강진군,46,46810,14111743.815739,4115378.447167
